N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,ring,1.878584,2.104364,0.22578,0.22578,6.661338148e-16,0.762417372,1.7203,0.831566193
4,ring,1.878584,2.13194,0.253356,0.253356,3.20474182e-16,0.795965885,1.5784,0.824079519
4,ring,1.878584,2.162885,0.284301,0.284301,1.165477763e-16,0.799388493,1.5649,0.815747908
4,ring,1.878584,2.197609,0.319025,0.319025,2.063225046e-16,0.802785552,1.5517,0.80649409
4,ring,1.878584,2.236574,0.35799,0.35799,2.343262865e-16,0.807724171,1.5328,0.796239494
4,ring,1.878584,2.280298,0.401714,0.401714,5.043979557e-16,0.681922192,2.1505,0.784906078
4,ring,1.878584,2.329363,0.450779,0.450779,3.330669074e-16,0.832692905,1.4422,0.772418654
4,ring,1.878584,2.384421,0.505837,0.505837,1.847751552e-16,0.840403595,1.4159,0.7587077
4,ring,1.878584,2.446203,0.567619,0.567619,1.380080706e-16,0.797395646,1.5727,0.743712636
4,ring,1.878584,2.515531,0.636947,0.636947,2.087577996e-17,0.817215206,1.4974,0.727385461
4,ring,1.878584,2.593326,0.714743,0.714743,2.116362641e-16,0.850942012,1.381,0.70969461
4,ring,1.878584,2.680624,0.80204,0.80204,3.704977698e-17,0.787568493,1.6122,0.690628802
4,ring,1.878584,2.778584,0.9,0.9,9.357959895e-17,0.638643261,2.4518,0.670200618
4,star,1.878584,1.874584,0.004,-0.004,1.647824672e-15,0.768790511,1.6919,1.326473669
4,star,1.878584,1.874095,0.004489,-0.004489,4.597559312e-16,0.773348766,1.672,1.326759412
4,star,1.878584,1.873547,0.005037,-0.005037,3.191880297e-16,0.776150337,1.66,1.327080162
4,star,1.878584,1.872932,0.005652,-0.005652,2.251068395e-16,0.755477158,1.7521,1.327440223
4,star,1.878584,1.872242,0.006342,-0.006342,9.991888599e-16,0.704787207,2.0132,1.327844431
4,star,1.878584,1.871467,0.007117,-0.007117,6.6613381e-16,0.775853874,1.6613,1.328298221
4,star,1.878584,1.870598,0.007986,-0.007986,3.544151738e-16,0.74855324,1.7847,1.328807706
4,star,1.878584,1.869622,0.008962,-0.008962,2.081668171e-17,0.745043216,1.8015,1.329379757
4,star,1.878584,1.868528,0.010056,-0.010056,2.203098814e-16,0.735565172,1.8482,1.330022103
4,star,1.878584,1.8673,0.011284,-0.011284,1.221248093e-15,0.757804403,1.7413,1.33074344
4,star,1.878584,1.865921,0.012663,-0.012663,1.713039433e-16,0.758260192,1.7393,1.331553556
4,star,1.878584,1.864375,0.014209,-0.014209,1.110223025e-16,0.772580983,1.6754,1.332463467
4,star,1.878584,1.862639,0.015945,-0.015945,1.51953645e-15,0.762908406,1.7181,1.333485583
4,star,1.878584,1.860692,0.017892,-0.017892,1.110206161e-16,0.77148557,1.6801,1.334633884
4,star,1.878584,1.858506,0.020078,-0.020078,6.239041402e-16,0.751542487,1.7705,1.33592413
4,star,1.878584,1.856054,0.02253,-0.02253,6.464671722e-16,0.76692175,1.7002,1.337374096
4,star,1.878584,1.853302,0.025282,-0.025282,2.220445101e-16,0.748315752,1.7858,1.33900384
4,star,1.878584,1.850215,0.028369,-0.028369,1.10998004e-16,0.747544107,1.7895,1.340836009
4,star,1.878584,1.84675,0.031834,-0.031834,8.187894807e-16,0.170040629,34.5855,1.334453298
4,star,1.878584,1.842861,0.035723,-0.035723,3.016126301e-16,0.174742842,32.7492,1.327190923
4,star,1.878584,1.838498,0.040086,-0.040086,1.776356839e-15,0.161569324,38.3074,1.319171669
4,star,1.878584,1.833602,0.044982,-0.044982,1.770275471e-15,0.137742184,52.7067,1.310329853
4,star,1.878584,1.828108,0.050476,-0.050476,4.204969706e-15,0.162855328,37.7047,1.300596521
4,star,1.878584,1.821943,0.056641,-0.056641,7.994364719e-16,0.194069503,26.5513,1.28989967
4,star,1.878584,1.815025,0.063559,-0.063559,3.837476586e-16,0.136028914,54.0428,1.278164531
4,star,1.878584,1.807262,0.071322,-0.071322,1.776356839e-15,0.168463913,35.236,1.265313889
4,star,1.878584,1.798551,0.080033,-0.080033,8.396061624e-16,0.074628624,179.5515,1.251268436
4,star,1.878584,1.788776,0.089808,-0.089808,2.226653107e-15,0.193756095,26.6372,1.235947141
4,star,1.878584,1.777807,0.100777,-0.100777,4.996002694e-16,0.215314709,21.5701,1.219267624
4,star,1.878584,1.765498,0.113085,-0.113085,1.703417131e-15,0.230051825,18.8951,1.201146497
4,star,1.878584,1.751686,0.126898,-0.126898,1.766908604e-15,0.235467256,18.0359,1.181499654
4,star,1.878584,1.736187,0.142397,-0.142397,1.998401444e-15,0.228996714,19.0696,1.16024248
4,star,1.878584,1.718795,0.159789,-0.159789,7.416461559e-16,0.271937954,13.5226,1.137289955
4,star,1.878584,1.699279,0.179305,-0.179305,1.296544235e-15,0.199911548,25.0221,1.112556601
4,star,1.878584,1.677379,0.201205,-0.201205,2.276824562e-16,0.295361118,11.4629,1.085956264
4,star,1.878584,1.652804,0.22578,-0.22578,4.996003611e-16,0.278907583,12.8552,1.057401676
4,star,1.878584,1.625228,0.253356,-0.253356,9.852435379e-16,0.277020774,13.0309,1.026803763
4,star,1.878584,1.594283,0.284301,-0.284301,8.394977422e-16,0.365881902,7.47,0.994070663
4,star,1.878584,1.559559,0.319025,-0.319025,8.300651833e-16,0.382881025,6.8214,0.959106382
4,star,1.878584,1.520594,0.35799,-0.35799,5.515319511e-16,0.426989015,5.4849,0.921809037
4,star,1.878584,1.476869,0.401714,-0.401714,6.939159943e-16,0.418173287,5.7186,0.882068591
4,star,1.878584,1.427805,0.450779,-0.450779,1.975850039e-15,0.481797275,4.308,0.839763949
4,star,1.878584,1.372747,0.505837,-0.505837,1.332267681e-15,0.509430919,3.8533,0.794759256
4,star,1.878584,1.310965,0.567619,-0.567619,1.12800394e-15,0.557264754,3.2202,0.746899166
4,star,1.878584,1.241637,0.636947,-0.636947,6.700369426e-16,0.552701132,3.2736,0.696002719
4,star,1.878584,1.163841,0.714743,-0.714743,2.727635826e-15,0.659873825,2.2966,0.641855352
4,star,1.878584,1.076544,0.80204,-0.80204,1.785057562e-15,0.684451209,2.1346,0.584198303
4,star,1.878584,0.978584,0.9,-0.9,3.429057641e-17,0.739442098,1.8289,0.522714293
4,star,1.878584,1.882584,0.004,0.004,1.457099552e-16,0.768024547,1.6953,1.321807456
4,star,1.878584,1.883072,0.004489,0.004489,1.443291451e-15,0.776777553,1.6573,1.321523275
4,star,1.878584,1.883621,0.005037,0.005037,7.541710312e-16,0.740313221,1.8246,1.321204493
4,star,1.878584,1.884236,0.005652,0.005652,6.661945637e-16,0.778345577,1.6507,1.32084691
