N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
4,ring,25.407672,2,2,0,FrozenCommutant,1,1.726049859e-16,0.999224867,0.078655366,0.930449379
4,ring,28.726136,2,2,0,FrozenCommutant,1,1.127570259e-16,0.999393712,0.069580797,0.959228377
4,ring,32.478021,2,2,0,FrozenCommutant,1,1.006139616e-16,0.999525762,0.061550904,0.949784627
4,ring,36.719934,2,2,0,FrozenCommutant,1,7.632783294e-17,0.99962904,0.054446124,0.774083371
4,ring,41.515878,2,2,0,FrozenCommutant,1,5.134781489e-16,0.99970982,0.04816036,0.984533071
4,ring,46.938215,2,2,0,FrozenCommutant,1,4.857225733e-17,0.999773005,0.042599532,0.830872466
4,ring,53.068756,2,2,0,FrozenCommutant,1,5.984795992e-17,0.99982243,0.037680266,0.655332607
4,ring,60,2,2,0,FrozenCommutant,1,5.551115123e-16,0.999861092,0.033328703,0.984170019
4,star,0.5,3,3,0,FrozenCommutant,1,1.329231863e-16,0.06349098,0.253963921,0.815037125
4,star,0.565304,1,1,0,FrozenCommutant,1,2.696952904e-16,0.081517472,0.288402059,0.917584175
4,star,0.639138,3,3,0,FrozenCommutant,1,6.661338148e-16,0.104791632,0.327915477,0.618463359
4,star,0.722615,3,3,0,FrozenCommutant,1,2.359224131e-16,0.134923428,0.373430975,0.868205248
4,star,0.816995,3,3,0,FrozenCommutant,1,8.881939898e-16,0.174065786,0.426112277,0.829265647
4,star,0.923702,1,1,0,FrozenCommutant,1,6.067547662e-17,0.225117799,0.487425366,0.78880884
4,star,1.044345,1,1,0,FrozenCommutant,1,6.938893904e-18,0.291986055,0.559175408,0.515339212
4,star,1.180746,1,1,0,FrozenCommutant,1,4.232725281e-16,0.379816645,0.643350447,0.654878158
4,star,1.334961,1,1,0,FrozenCommutant,1,1.354527866e-17,0.494678984,0.741113517,0.581265746
4,star,1.509319,3,3,0,FrozenCommutant,1,7.554720738e-16,0.640461865,0.848676565,0.303553732
4,star,1.706449,1,1,0,FrozenCommutant,1,1.43410761e-15,0.807558031,0.94647759,0.462747729
4,star,1.929327,1,1,0,FrozenCommutant,1,2.468100748e-16,0.962085301,0.997327593,0.476085366
4,star,2.181313,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.916878767,1
4,star,2.466212,0,1,1,UnfreezingSeEp,1,3.469446952e-18,1,0.810960266,0.866051828
4,star,2.788321,0,1,1,UnfreezingSeEp,1,0e+00,1,0.717277547,0.976322531
4,star,3.1525,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.634417124,1
4,star,3.564244,0,1,1,UnfreezingSeEp,1,0e+00,1,0.561128797,0.9701425
4,star,4.029766,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.496306791,1
4,star,4.556088,0,1,1,UnfreezingSeEp,1,0e+00,1,0.43897307,0.926847016
4,star,5.151153,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.388262582,1
4,star,5.823939,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.343410206,1
4,star,6.584596,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.30373921,1
4,star,7.444602,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.268651036,1
4,star,8.416932,0,1,1,UnfreezingSeEp,1,0e+00,1,0.237616273,0.993098596
4,star,9.516257,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.210166668,1
4,star,10.759163,0,1,1,UnfreezingSeEp,1,3.085639383e-16,1,0.185888062,1
4,star,12.164404,0,1,1,UnfreezingSeEp,1,0e+00,1,0.164414138,0.99503719
4,star,13.753182,0,1,1,UnfreezingSeEp,1,0e+00,1,0.145420898,0.986393924
4,star,15.549467,0,1,1,UnfreezingSeEp,1,0e+00,1,0.12862177,0.894427191
4,star,17.580364,0,1,1,UnfreezingSeEp,1,0e+00,1,0.11376329,0.9701425
4,star,19.876513,0,1,1,UnfreezingSeEp,1,0e+00,1,0.100621272,0.980580676
4,star,22.472559,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.088997429,1
4,star,25.407672,0,1,1,UnfreezingSeEp,1,0e+00,1,0.078716382,0.980580676
4,star,28.726136,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.069623008,1
4,star,32.478021,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.061580108,1
4,star,36.719934,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.054466329,1
4,star,41.515878,0,1,1,UnfreezingSeEp,1,0e+00,1,0.048174339,0.97618706
4,star,46.938215,0,1,1,UnfreezingSeEp,1,0e+00,1,0.042609204,0.9701425
4,star,53.068756,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.037686958,1
4,star,60,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.033333333,1
5,chain,0.5,3,3,0,UnfreezingSeEp,1,6.813929121e-17,0.024124011,0.096496045,0.975915824
5,chain,0.565304,2,2,0,UnfreezingSeEp,1,1.661463173e-16,0.030929102,0.109424597,0.9691362
