"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"17","277.0444154069827","79.7618233233267","0.007568359375","0.00927734375","0.005859375","2584","0.00036984720699546046","36","0.00036984720699546046","0","0.00036984720699546046","0.00036984720699546046","7:0.001699647596547893;27:0.002070952156546596","7:68;27:68","7:0.0015772898565088178;27:0.002659714084352033","0.007568359375","Yes"
"18","84.47457252745802","57.6364524773068","0.01123046875","0.0166015625","0.005859375","2584","0.0006113846827047224","36","0.0006113846827047224","0","0.0006113846827047224","0.0006113846827047224","11:0.0019636055258829554;31:0.0027293813884245177","11:68;31:68","11:0.0024829156251839624;31:0.003349259488488937","0.01123046875","Yes"
"19","164.22589323545196","88.62967414748788","0.0048828125","0.009765625","0","2584","0.0002836130009030315","36","0.0002836130009030315","0","0.0002836130009030315","0.0002836130009030315","35:0.0020262473192120267;15:0.002060905028459431","35:80;15:68","35:0.002864828247229112;15:0.0030494705051263837","0.0048828125","Yes"
"20","169.26566037787038","177.1459473143791","0.01025390625","0.01025390625","0.01025390625","2584","0.000612848946482691","36","0.000612848946482691","0","0.000612848946482691","0.000612848946482691","21:0.0038714876346809812","21:68","21:0.0028636210883531688","0.01025390625","Yes"
"21","284.1388701164287","176.02249524617503","0.0048828125","0.00927734375","0.00048828125","2584","0.0002198052584375043","36","0.0002198052584375043","0","0.0002198052584375043","0.0002198052584375043","36:0.002807150560702243;20:0.0038714876346809812;22:0.002365208013825504","36:68;20:68;22:68","36:0.0024088463431846396;20:0.0028636210883531688;22:0.00230646703849971","0.0048828125","Yes"
"22","128.33024286169186","36.317922910991","0.00537109375","0.00830078125","0.00244140625","2584","0.0005626272212254147","36","0.0005626272212254147","0","0.0005626272212254147","0.0005626272212254147","23:0.0033074781191513025;21:0.002365208013825504","23:68;21:68","23:0.0023699990017879424;21:0.00230646703849971","0.00537109375","Yes"
"23","314.7839291394045","222.86092426378045","0.02880859375","0.03076171875","0.02685546875","2584","0.00015495862492576548","36","0.00015495862492576548","0","0.00015495862492576548","0.00015495862492576548","22:0.0033074781191513025;24:0.003642046861979026;16:0.0027393277635359703","22:68;24:68;16:68","22:0.0023699990017879424;24:0.0024951769509395094;16:0.003387828047106606","0.02880859375","Yes"
"24","168.9067744394182","109.60649760209549","0.01904296875","0.025390625","0.0126953125","2584","0.0005927321968846053","36","0.0005927321968846053","0","0.0005927321968846053","0.0005927321968846053","23:0.003642046861979026;25:0.002886764498328115","23:68;25:68","23:0.0024951769509395094;25:0.003135935600010603","0.01904296875","Yes"
"25","130.6775201686525","51.82305600972279","0.021484375","0.021484375","0.021484375","2584","0.0002681929045202612","36","0.0002681929045202612","0","0.0002681929045202612","0.0002681929045202612","24:0.002886764498328115;26:0.012323850357391114;37:0.004361896800144122","24:68;26:68;37:68","24:0.003135935600010603;26:0.013727003280683325;37:0.003912420409617284","0.021484375","Yes"
"26","4.430820859581393","8.14689778498144","0.0478515625","0.0869140625","0.0087890625","2584","0.0035359988705502905","36","0.0035359988705502905","0","0.0035359988705502905","0.0035359988705502905","25:0.012323850357391114;27:0.01019477673856825","25:68;27:68","25:0.013727003280683325;27:0.013327252140409612","0.0478515625","Yes"
